2018-2019 Award Year Direct Loan Volume by School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Cumulative Activity through Quarter ending (6/30/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Common Origination and Disbursement (COD) System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of Oct 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,DL SUBSIDIZED,,,,,DL UNSUBSIDIZED - UNDERGRADUATE,,,,,DL UNSUBSIDIZED - GRADUATE,,,,,DL PARENT PLUS,,,,,DL GRAD PLUS,,,,
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,202,226,"$595,839.00",428,"$595,839.00",217,236,"$759,947.00",437,"$759,947.00",-,-, -,-, -,5,5,"$32,000.00",10,"$32,000.00",-,-, -,-, -
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,"2,699","2,851","$10,581,257.00","5,380","$10,576,007.00","2,601","2,822","$9,529,639.00","5,337","$9,504,120.00",633,666,"$8,449,140.00","1,322","$8,411,540.00",559,601,"$6,010,685.00","1,154","$5,984,034.00",19,20,"$107,473.00",39,"$107,473.00"
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,712,712,"$2,836,702.00","1,338","$2,836,702.00",778,870,"$2,893,092.00","1,620","$2,893,092.00",-,-, -,-, -,239,240,"$2,885,150.00",459,"$2,885,150.00",-,-, -,-, -
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,"3,010","3,235","$11,802,159.00","5,467","$11,798,574.00","3,106","3,431","$12,456,019.00","5,876","$12,442,917.00",771,993,"$10,271,820.00","1,472","$10,266,794.00",437,480,"$3,823,052.00",840,"$3,810,356.00",11,12,"$87,189.00",16,"$87,189.00"
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,"1,602","1,715","$4,696,000.00","2,880","$4,696,000.00","1,308","1,470","$3,203,549.00","2,511","$3,203,549.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,180,180,"$699,459.00",336,"$699,459.00",189,208,"$617,760.00",394,"$617,760.00",-,-, -,-, -,46,46,"$393,138.00",92,"$393,138.00",-,-, -,-, -
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,"1,607","1,699","$6,093,951.00","2,845","$5,784,144.00","1,623","1,813","$6,568,960.00","3,076","$6,144,054.00","3,340","3,414","$51,076,782.00","6,709","$44,102,576.00",405,472,"$5,259,579.00",815,"$5,102,833.00",66,67,"$855,064.00",108,"$827,280.00"
00102600,MARION MILITARY INSTITUTE,AL,367563214,Public,117,119,"$336,237.00",218,"$336,237.00",179,185,"$607,607.00",333,"$607,607.00",-,-, -,-, -,37,43,"$209,611.00",79,"$209,611.00",-,-, -,-, -
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,"1,487","1,689","$5,638,097.00","3,158","$5,634,967.00","1,495","2,041","$5,353,680.00","3,776","$5,345,286.00",-,-, -,-, -,403,458,"$3,075,107.00",874,"$3,075,107.00",-,-, -,-, -
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,802,839,"$3,222,854.00","1,578","$3,205,042.00",864,941,"$3,271,005.00","1,770","$3,240,986.00",179,252,"$2,808,191.00",379,"$2,756,917.00",171,201,"$2,286,482.00",394,"$2,286,482.00",11,20,"$92,763.00",22,"$92,763.00"
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,214,288,"$545,536.00",567,"$545,536.00",218,324,"$637,291.00",641,"$637,291.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,"1,103","1,104","$4,757,575.00","2,101","$4,634,463.00","1,129","1,261","$4,428,486.00","2,412","$4,274,429.00",25,25,"$410,000.00",45,"$379,250.00",324,338,"$4,928,038.00",664,"$4,837,265.00",-,-, -,-, -
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,816,832,"$3,256,126.00","1,537","$3,256,126.00","1,067","1,071","$4,183,505.00","2,006","$4,183,505.00","1,432","1,605","$30,457,379.00","2,781","$30,457,379.00",370,435,"$8,156,344.00",756,"$8,156,344.00",966,"1,464","$19,748,280.00","2,260","$19,748,280.00"
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,454,466,"$1,394,136.00",785,"$1,284,991.00",424,452,"$1,595,456.00",764,"$1,459,598.00",-,-, -,-, -,6,7,"$35,250.00",12,"$32,250.00",-,-, -,-, -
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,824,842,"$2,503,965.00","1,489","$2,503,965.00",798,817,"$2,985,969.00","1,458","$2,985,969.00",-,-, -,-, -,20,21,"$105,195.00",39,"$105,195.00",-,-, -,-, -
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,678,762,"$2,840,607.00","1,362","$2,840,607.00",776,897,"$2,830,464.00","1,668","$2,830,464.00",33,39,"$440,394.00",67,"$440,394.00",233,268,"$3,599,704.00",460,"$3,599,704.00",1,1,"$10,445.00",1,"$10,445.00"
00104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,610,630,"$2,140,193.00","1,149","$2,124,318.00",628,674,"$2,435,425.00","1,229","$2,408,441.00",-,-, -,-, -,160,161,"$1,465,037.00",302,"$1,451,037.00",-,-, -,-, -
00104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,965,965,"$3,898,045.00","1,805","$3,690,327.00",944,944,"$4,212,189.00","1,772","$3,986,126.00",8,8,"$126,263.00",16,"$126,263.00",239,239,"$2,185,681.00",468,"$2,128,541.00",-,-, -,-, -
00104700,TROY UNIVERSITY,AL,360820001,Public,"6,673","7,132","$25,446,247.00","15,970","$25,446,247.00","6,756","7,368","$28,431,936.00","16,272","$28,431,936.00","2,128","2,307","$31,504,627.00","5,615","$31,504,627.00",802,955,"$8,944,271.00","1,555","$8,944,271.00",260,311,"$2,794,825.00",517,"$2,794,825.00"
00105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,"1,715","1,798","$7,125,891.00","3,451","$7,125,891.00","1,746","2,102","$6,091,697.00","4,042","$6,091,697.00",305,356,"$9,968,685.00",689,"$9,968,685.00",893,"1,143","$20,196,809.00","2,242","$20,196,809.00",238,344,"$7,317,073.00",667,"$7,317,073.00"
00105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,"10,069","10,594","$41,101,913.00","18,640","$41,046,599.00","11,757","12,656","$43,389,180.00","22,673","$43,306,405.00","1,995","2,316","$30,740,324.00","3,825","$30,663,235.00","3,612","4,230","$97,540,729.00","7,293","$97,389,195.00",363,469,"$5,429,242.00",693,"$5,425,742.00"
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,"6,130","6,669","$24,482,692.00","11,611","$24,068,225.00","6,395","7,138","$26,526,062.00","12,549","$25,959,508.00","4,177","4,791","$87,767,425.00","9,170","$85,858,678.00","1,008","1,337","$14,577,436.00","2,216","$14,224,357.00",991,"1,412","$21,367,841.00","2,515","$21,141,469.00"
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,"2,566","2,751","$10,171,904.00","4,592","$10,171,904.00","2,709","2,904","$11,288,689.00","4,976","$11,288,689.00",564,704,"$7,539,993.00","1,029","$7,539,993.00",379,454,"$5,145,795.00",760,"$5,145,795.00",27,34,"$280,285.00",47,"$280,285.00"
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,"5,179","5,709","$20,698,773.00","9,875","$20,691,599.00","5,240","5,932","$20,411,157.00","10,491","$20,388,407.00","3,032","3,564","$52,313,736.00","6,051","$51,420,980.00","2,075","2,372","$26,853,664.00","4,180","$26,853,664.00","1,149","1,410","$10,736,583.00","2,264","$10,663,619.00"
00106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,365072698,Public,"1,378","1,454","$4,164,777.00","2,643","$4,164,777.00","1,467","1,537","$5,467,134.00","2,751","$5,467,134.00",-,-, -,-, -,94,99,"$628,547.00",184,"$628,547.00",-,-, -,-, -
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,132,132,"$535,356.00",236,"$516,421.00",128,128,"$601,332.00",233,"$579,135.00",53,53,"$828,846.00",95,"$818,596.00",11,11,"$143,416.00",22,"$143,416.00",3,3,"$52,738.00",5,"$52,738.00"
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,Public,"1,342","1,426","$4,887,531.00","2,334","$4,887,531.00","1,259","1,308","$5,832,160.00","2,168","$5,832,160.00",181,219,"$2,418,593.00",350,"$2,412,913.00",49,58,"$598,671.00",83,"$598,671.00",15,21,"$242,310.00",30,"$242,310.00"
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,Public,322,322,"$1,260,181.00",520,"$1,160,734.00",328,328,"$1,509,652.00",514,"$1,369,842.00",102,102,"$1,271,292.00",158,"$1,173,322.00",26,26,"$319,925.00",45,"$279,915.00",16,16,"$74,527.00",25,"$70,916.00"
00107100,ARIZONA WESTERN COLLEGE,AZ,853658847,Public,125,137,"$343,794.00",354,"$343,794.00",64,67,"$174,613.00",182,"$174,613.00",-,-, -,-, -,11,11,"$93,811.00",34,"$93,811.00",-,-, -,-, -
00107200,COCHISE COLLEGE,AZ,856352317,Public,223,238,"$703,228.00",415,"$703,228.00",189,195,"$741,844.00",340,"$741,844.00",-,-, -,-, -,3,3,"$22,282.00",4,"$22,282.00",-,-, -,-, -
00107400,GRAND CANYON UNIVERSITY,AZ,850173030,Proprietary,"40,213","43,225","$160,435,304.00","72,031","$145,605,547.00","41,946","45,951","$214,292,027.00","78,120","$192,537,519.00","35,991","41,347","$472,744,885.00","74,542","$426,876,133.00","2,538","2,871","$29,019,598.00","4,905","$28,803,067.00",946,"1,082","$11,619,391.00","2,065","$10,748,164.00"
00107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,Public,"1,862","1,937","$5,519,200.00","3,471","$5,516,950.00",613,641,"$1,978,751.00","1,150","$1,978,751.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00107700,MESA COMMUNITY COLLEGE,AZ,852024866,Public,"2,560","2,647","$7,407,837.00","4,613","$7,404,962.00",833,856,"$2,666,088.00","1,546","$2,661,713.00",-,-, -,-, -,22,24,"$228,188.00",46,"$228,188.00",-,-, -,-, -
00107800,PHOENIX COLLEGE,AZ,850134234,Public,"1,431","1,528","$4,076,341.00","2,696","$4,076,341.00",531,601,"$1,700,730.00","1,078","$1,700,730.00",-,-, -,-, -,7,7,"$45,274.00",12,"$45,274.00",-,-, -,-, -
00107900,YAVAPAI COLLEGE,AZ,863013297,Public,537,568,"$1,711,544.00","1,038","$1,709,794.00",516,554,"$2,088,508.00","1,028","$2,088,008.00",-,-, -,-, -,8,10,"$50,214.00",20,"$50,214.00",-,-, -,-, -
00108100,ARIZONA STATE UNIVERSITY,AZ,852870412,Public,"38,017","42,723","$151,428,120.00","69,364","$151,428,120.00","35,010","39,625","$159,502,274.00","64,909","$159,502,274.00","9,996","12,272","$151,089,999.00","19,178","$151,089,999.00","6,619","7,690","$121,668,466.00","13,518","$121,668,466.00","5,202","6,806","$85,746,607.00","10,562","$85,746,607.00"
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,Public,"9,965","10,721","$39,496,951.00","18,214","$39,489,201.00","10,058","11,022","$40,839,484.00","18,826","$40,829,734.00","2,280","2,619","$32,892,044.00","4,053","$32,881,794.00","3,000","3,212","$45,226,847.00","5,963","$45,226,847.00",501,756,"$7,865,016.00","1,157","$7,865,016.00"
00108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,Public,"10,461","11,215","$42,061,824.00","19,724","$42,057,824.00","10,488","11,380","$41,368,671.00","20,341","$41,363,921.00","3,643","4,277","$75,562,816.00","7,296","$75,364,122.00","3,948","4,668","$86,052,750.00","8,732","$86,052,750.00",914,"1,293","$15,059,741.00","2,117","$15,036,864.00"
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,Public,"1,319","1,405","$4,824,414.00","3,147","$4,627,937.00","1,246","1,425","$5,125,020.00","3,174","$4,806,845.00",299,382,"$3,227,108.00",742,"$3,216,344.00",82,93,"$532,999.00",177,"$532,630.00",3,4,"$37,048.00",8,"$37,048.00"
00108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,Public,"1,578","1,707","$6,233,754.00","3,218","$6,175,475.00","1,524","1,988","$5,129,781.00","3,718","$5,067,210.00",52,71,"$448,001.00",132,"$443,751.00",331,393,"$2,607,785.00",760,"$2,597,285.00",-,-, -,-, -
00108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,Private-Nonprofit,429,477,"$1,692,494.00",890,"$1,471,555.00",443,501,"$1,923,218.00",976,"$1,635,198.00",-,-, -,-, -,33,33,"$238,103.00",64,"$214,536.00",-,-, -,-, -
00108800,LYON COLLEGE,AR,725013699,Private-Nonprofit,326,326,"$1,267,032.00",599,"$1,263,532.00",374,374,"$1,256,123.00",696,"$1,255,123.00",-,-, -,-, -,99,102,"$1,035,805.00",178,"$1,029,555.00",-,-, -,-, -
00108900,ARKANSAS TECH UNIVERSITY,AR,728012222,Public,"3,589","4,240","$13,025,778.00","7,999","$12,805,123.00","3,482","4,122","$14,301,268.00","7,756","$14,035,619.00",489,668,"$6,152,132.00","1,277","$6,084,377.00",349,422,"$2,741,070.00",797,"$2,685,200.00",15,18,"$155,290.00",36,"$155,290.00"
00109000,ARKANSAS STATE UNIVERSITY,AR,724010000,Public,"4,150","4,560","$16,284,300.00","7,507","$15,528,048.00","4,346","4,992","$19,851,056.00","8,335","$18,991,195.00","4,082","5,764","$49,983,781.00","8,157","$48,192,659.00",471,529,"$4,521,784.00",920,"$4,389,937.00",238,306,"$3,310,791.00",426,"$3,251,378.00"
00109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,Public,476,567,"$1,429,088.00","1,040","$1,427,338.00",407,489,"$1,421,241.00",886,"$1,421,079.00",-,-, -,-, -,7,8,"$50,806.00",15,"$50,806.00",-,-, -,-, -
00109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,Public,"3,714","4,091","$14,284,553.00","6,908","$14,284,553.00","3,807","4,557","$14,917,738.00","7,814","$14,913,988.00",970,"1,465","$12,360,215.00","2,175","$12,360,215.00",971,"1,143","$9,445,063.00","1,974","$9,445,063.00",118,147,"$769,971.00",170,"$769,971.00"
00109300,CENTRAL BAPTIST COLLEGE,AR,720346470,Private-Nonprofit,409,422,"$1,467,506.00",784,"$1,466,466.00",446,456,"$1,837,342.00",851,"$1,833,323.00",-,-, -,-, -,85,89,"$811,856.00",171,"$811,856.00",-,-, -,-, -
00109400,UNIVERSITY OF THE OZARKS,AR,728302880,Private-Nonprofit,378,379,"$1,397,726.00",722,"$1,352,046.00",372,388,"$1,100,141.00",727,"$1,056,368.00",-,-, -,-, -,37,37,"$327,925.00",71,"$315,425.00",-,-, -,-, -
00109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,Private-Nonprofit,136,136,"$511,411.00",248,"$511,411.00",143,143,"$554,985.00",261,"$554,985.00",-,-, -,-, -,48,48,"$314,518.00",87,"$314,518.00",-,-, -,-, -
00109700,HARDING UNIVERSITY,AR,721490001,Private-Nonprofit,"1,551","1,758","$6,839,296.00","3,220","$6,803,394.00","1,856","2,098","$7,774,474.00","3,818","$7,728,059.00",744,"1,108","$16,898,123.00","1,564","$16,840,648.00",687,761,"$9,808,624.00","1,382","$9,797,578.00",287,400,"$5,839,965.00",597,"$5,825,699.00"
00109800,HENDERSON STATE UNIVERSITY,AR,719990001,Public,"1,282","1,397","$4,704,779.00","2,330","$4,704,779.00","1,306","1,459","$4,746,902.00","2,440","$4,746,902.00",371,464,"$5,057,023.00",695,"$5,057,023.00",151,180,"$1,275,371.00",286,"$1,275,371.00",27,34,"$278,483.00",42,"$278,483.00"
00109900,HENDRIX COLLEGE,AR,720323080,Private-Nonprofit,453,458,"$1,974,815.00",875,"$1,974,815.00",519,554,"$1,822,251.00","1,061","$1,822,251.00",3,3,"$57,750.00",5,"$57,750.00",135,147,"$2,235,615.00",263,"$2,235,615.00",-,-, -,-, -
00110000,JOHN BROWN UNIVERSITY,AR,727612747,Private-Nonprofit,706,709,"$2,923,614.00","1,274","$2,900,322.00",706,709,"$2,685,116.00","1,276","$2,661,434.00",422,437,"$5,622,032.00",941,"$5,345,775.00",192,194,"$1,885,039.00",360,"$1,885,039.00",4,4,"$47,455.00",7,"$47,455.00"
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,Public,"3,447","3,882","$13,226,845.00","6,486","$12,906,857.00","3,384","3,967","$16,393,603.00","6,615","$15,893,779.00","1,135","1,380","$16,748,141.00","2,360","$16,397,895.00",220,289,"$1,921,089.00",449,"$1,872,206.00",320,370,"$1,955,238.00",654,"$1,921,338.00"
00110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,Private-Nonprofit,568,580,"$2,227,334.00","1,051","$2,227,334.00",741,793,"$2,705,062.00","1,431","$2,705,062.00",-,-, -,-, -,201,209,"$2,371,808.00",364,"$2,371,808.00",-,-, -,-, -
00110300,PHILANDER SMITH COLLEGE,AR,722023718,Private-Nonprofit,823,889,"$3,331,473.00","1,708","$3,298,723.00",779,838,"$3,193,083.00","1,603","$3,161,458.00",-,-, -,-, -,219,246,"$2,473,547.00",482,"$2,459,196.00",-,-, -,-, -
00110500,SHORTER COLLEGE,AR,721144885,Private-Nonprofit,291,320,"$832,188.00",859,"$763,688.00",298,315,"$1,301,401.00",851,"$1,206,846.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00110600,WILLIAMS BAPTIST UNIVERSITY,AR,724764661,Private-Nonprofit,244,244,"$872,100.00",428,"$869,491.00",204,268,"$643,850.00",447,"$643,562.00",17,19,"$108,028.00",39,"$96,033.00",79,83,"$725,815.00",138,"$725,815.00",-,-, -,-, -
00110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,Public,"1,537","1,666","$5,769,128.00","3,119","$5,769,128.00","1,574","1,809","$6,032,728.00","3,376","$6,024,478.00",530,677,"$7,538,594.00","1,305","$7,534,205.00",303,359,"$2,327,967.00",686,"$2,327,967.00",67,76,"$636,390.00",145,"$636,390.00"
00110800,UNIVERSITY OF ARKANSAS,AR,727010000,Public,"6,419","7,999","$26,730,947.00","13,415","$26,728,197.00","7,794","9,129","$31,678,243.00","16,197","$31,674,493.00","1,239","1,627","$18,395,168.00","2,559","$18,395,168.00","1,811","2,112","$29,738,075.00","3,582","$29,727,429.00",192,277,"$2,211,970.00",385,"$2,211,970.00"
00110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,Public,316,377,"$1,337,503.00",685,"$1,337,503.00",313,347,"$1,622,430.00",621,"$1,622,430.00","1,257","1,624","$41,345,600.00","2,486","$33,795,755.00",45,47,"$280,784.00",90,"$280,784.00",692,931,"$13,156,180.00","1,411","$10,748,840.00"
00111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,729047397,Public,"2,152","2,153","$8,092,461.00","4,081","$7,664,983.00","1,809","1,851","$7,778,061.00","3,482","$7,346,651.00",21,21,"$338,226.00",46,"$322,680.00",92,92,"$708,488.00",185,"$672,870.00",-,-, -,-, -
00111100,ALLAN HANCOCK COLLEGE,CA,934546399,Public,92,98,"$332,066.00",183,"$322,047.00",84,90,"$373,682.00",166,"$360,870.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00111300,ANTELOPE VALLEY COLLEGE,CA,935365426,Public,"1,080","1,115","$3,569,800.00","3,392","$3,560,613.00",844,907,"$3,385,591.00","2,799","$3,378,893.00",-,-, -,-, -,2,2,"$31,127.00",8,"$31,127.00",-,-, -,-, -
00111600,ART CENTER COLLEGE OF DESIGN,CA,911031999,Private-Nonprofit,938,"1,278","$4,206,100.00","1,894","$4,206,100.00",856,"1,168","$3,475,727.00","1,725","$3,473,977.00",55,90,"$1,286,149.00",127,"$1,286,149.00",215,254,"$6,903,250.00",465,"$6,791,059.00",36,46,"$1,329,713.00",92,"$1,329,713.00"
00111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,Private-Nonprofit,"3,123","3,765","$13,930,949.00","6,902","$13,713,066.00","3,114","3,755","$12,470,731.00","6,885","$12,188,071.00","3,207","3,653","$54,918,780.00","7,659","$54,326,487.00","1,014","1,155","$19,137,933.00","2,091","$19,118,478.00","1,638","2,005","$29,043,433.00","4,523","$28,513,717.00"
00111800,BAKERSFIELD COLLEGE,CA,933051299,Public,321,341,"$1,183,727.00",992,"$1,178,852.00",272,306,"$1,245,270.00",929,"$1,242,270.00",-,-, -,-, -,5,5,"$26,368.00",16,"$26,368.00",-,-, -,-, -
00112000,AMERICAN BAPTIST SEMINARY OF THE WEST,CA,947043029,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,18,19,"$250,014.00",34,"$250,014.00",-,-, -,-, -,1,1,"$23,428.00",2,"$23,428.00"
00112200,BIOLA UNIVERSITY,CA,906390001,Private-Nonprofit,"2,101","2,108","$9,085,214.00","4,069","$9,085,214.00","2,013","2,018","$6,422,502.00","3,888","$6,422,502.00",588,590,"$9,063,086.00","1,035","$9,063,086.00",604,610,"$13,622,937.00","1,144","$13,622,937.00",83,92,"$1,314,712.00",179,"$1,314,712.00"
00112400,CABRILLO COLLEGE,CA,950033194,Public,159,159,"$560,150.00",304,"$560,150.00",162,162,"$808,228.00",309,"$808,228.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00112500,CALIFORNIA BAPTIST UNIVERSITY,CA,925043297,Private-Nonprofit,"5,478","6,914","$24,124,832.00","11,013","$24,124,832.00","5,375","6,726","$23,442,009.00","10,789","$23,442,009.00","2,317","2,531","$36,295,540.00","5,092","$36,295,540.00","1,144","1,472","$22,646,161.00","2,191","$22,646,161.00",576,953,"$10,806,565.00","1,324","$10,806,565.00"
00112700,CALIFORNIA COLLEGE OF THE ARTS,CA,941072206,Private-Nonprofit,492,603,"$2,291,813.00","1,078","$2,240,313.00",486,564,"$1,881,601.00","1,031","$1,835,101.00",142,177,"$2,775,073.00",291,"$2,736,760.00",199,274,"$3,347,666.00",453,"$3,271,981.00",95,131,"$2,183,362.00",225,"$2,140,450.00"
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,911250001,Private-Nonprofit,21,21,"$35,912.00",60,"$35,912.00",38,38,"$206,614.00",110,"$206,614.00",-,-, -,-, -,17,18,"$405,519.00",53,"$405,519.00",-,-, -,-, -
00113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,913552397,Private-Nonprofit,434,444,"$1,951,350.00",843,"$1,951,350.00",436,452,"$1,425,036.00",862,"$1,425,036.00",230,238,"$4,551,513.00",450,"$4,551,513.00",146,157,"$5,393,852.00",293,"$5,393,852.00",124,173,"$3,302,869.00",304,"$3,302,869.00"
00113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,913602787,Private-Nonprofit,"1,617","1,629","$7,064,056.00","3,136","$7,061,306.00","1,597","1,709","$6,123,913.00","3,266","$6,123,663.00",648,752,"$10,901,031.00","1,710","$10,901,031.00",626,664,"$11,209,833.00","1,209","$11,209,833.00",63,77,"$828,440.00",153,"$828,440.00"
